text,punctual/duritive,telicity
"Rinsing isn't necessary for all types of rice, but it helps improve the texture and flavor of most common varieties.Soak the rice for upt to 30 minutes if you've got the time - then drain it.",durative,atelic
Choose a variety of apples.Wash the apples.Core and slice the apples.,durative,atelic
"I used more cooked pasta for the hair, purple onion for mouth, sunflower seed teeth, olive eyes, and a bouquet of parsley flowers!",durative,atelic
Make another one if you love it!!!,durative,atelic
Do it how it sounds.,durative,atelic
"Enjoy making cute faces for all of the different snowmen! Let them dry, and they are ready to eat.",durative,atelic
Cream together the butter and sugar until light and fluffy.,durative,atelic
"make a vertical slit in one of the Jumbo olives , this will be the body , which you will stuff with cream cheese. (You&#8217;ll use 1/3 of the block to stuff penguins. Save the rest for &#8220;icing&#8221; the igloo.)",durative,atelic
"Everything on a stick is just tastier! Cut up your bread into cubes, along with some cheese and any veggies or protein you want - put it all on some toothpicks or skewers. Finger food!",durative,atelic
Heat oven to 375 degrees F.Spoon a layer of sauce over the bottom of 9-by-13-inch baking dish,durative,telic
Cover with a single layer of ravioli.,punctual,telic
Top with another layer of ravioli and the remaining sauce not all the ravioli may be needed. Sprinkle with the Parmesan.,punctual,telic
Top with half the spinach half the mozzarella and a third of the remaining sauce.,punctual,telic
Heat oven to 375 degrees F.Spoon a layer of sauce over the bottom of 9-by-13-inch baking dish,durative,telic
Cover with a single layer of ravioli.,punctual,telic
Top with another layer of ravioli and the remaining sauce not all the ravioli may be needed. Sprinkle with the Parmesan.,punctual,telic
Top with half the spinach half the mozzarella and a third of the remaining sauce.,punctual,telic
Repeat with another layer of ravioli and the remaining spinach mozzarella and half the remaining sauce.,punctual,telic
Top with another layer of ravioli and the remaining sauce not all the ravioli may be needed. Sprinkle with the Parmesan.,punctual,telic
Top with another layer of ravioli and the remaining sauce not all the ravioli may be needed. Sprinkle with the Parmesan.,punctual,telic
Top with half the spinach half the mozzarella and a third of the remaining sauce.,punctual,telic
Repeat with another layer of ravioli and the remaining spinach mozzarella and half the remaining sauce.,punctual,telic
Top with half the spinach half the mozzarella and a third of the remaining sauce.,punctual,telic
Repeat with another layer of ravioli and the remaining spinach mozzarella and half the remaining sauce.,punctual,telic
Heat oven to 375 degrees F.Spoon a layer of sauce over the bottom of 9-by-13-inch baking dish,durative,telic
Top with half the spinach half the mozzarella and a third of the remaining sauce.,punctual,telic
Repeat with another layer of ravioli and the remaining spinach mozzarella and half the remaining sauce.,punctual,telic
"Using your custom made chocolate machine, dip the pineapples into chocolate one by one until fully coated (LOL! Don't worry! We know you likely do not own such a thing. Therefore, you will need microwavable chocolate dipping sauce you can find in your local grocery store.)It is extremely important to wait until the chocolate is dry before the next step.",punctual,telic
"Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.",durative,telic
"Mix well, and place spoonfulls in muffin tins- or just drop them on a greased or oiled baking dish, or a sheet of alujminum foil, or an iron skillet. Whatever. If it can go in the oven, it's okay.",durative,telic
"In a preheated 400 degree oven, cook your zombie for 15-18 minutes. Serve with your favorite marinara or bolganese! Eat him before he eats you!",durative,telic
"Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.",durative,telic
Brush a splash of milk onto each scone with a brush.,durative,telic
Take a slice of butter and spread it around a small spot to allow the oil to sear the bread. This is important because otherwise the bread will not cook as well and not get the flavor that you want.,durative,telic
"Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.",durative,telic
"Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.",durative,telic
"Using your custom made chocolate machine, dip the pineapples into chocolate one by one until fully coated (LOL! Don't worry! We know you likely do not own such a thing. Therefore, you will need microwavable chocolate dipping sauce you can find in your local grocery store.)It is extremely important to wait until the chocolate is dry before the next step.",punctual,telic
Quickly drop table spoonfuls of the pancake mix onto the pan. I find 4 at a time leaves room for turning,punctual,telic
"When the noodles have absorbed most but not all of the sauce, add the straw mushrooms and chives to the pan and stir through for 1 minute.",punctual,telic
Add your meat to your avocado.,punctual,telic
Here you can see where you can start the actual peeling without any troubles.,durative,telic
"After putting the peanut butter away, slice a banana into slices approximately 1/2 inch thick. Placing these directly onto the peanut butter keeps them from sliding off and created small gaps for the jelly to fill. ",punctual,telic
Take a slice of butter and spread it around a small spot to allow the oil to sear the bread. This is important because otherwise the bread will not cook as well and not get the flavor that you want.,punctual,telic
put in lollipops in each square,punctual,telic
"Add your flours, and flax into a bowl. Grate your Butter into the Bowl. Grating it on the largest setting on your Grater is a wonderful was to get the perfect size of Butter pieces without trying to mix it into pea sizes pieces. &#160;",durative,telic
"Remove the cream cheese from packaging and place in a microwave safe container. &#160;Set microwave to High for 1 minute, this will soften the cream cheese.",punctual,telic
4 large bricks(I got mine from Home Depot for about 4 dollars each)Oven rackCharcoal,durative,telic
"Optional sauce: In a small bowl, mix together 2 Tbsp. mayo, 1 Tbsp. French dressing and 2 tsp. pickle relish. Combine until smooth.",durative,telic
Use a container to hold the skewered apple slices on the buffet table.Compactly fill the container with a head of lettuce.Use pieces of kale to cover the lettuce.,durative,telic
Place the gelatin pack and the sugar in the stove pot and then mix together to form a fine powder,punctual,telic
Allow to cool completely before serving. Serve with your favorite ice cream.,durative,telic
"if you are luckky and live in or close to a farm, you might see some grasshoppers just hopping around, some families in mexico take a couple of hours to get a good quantity for a dinner, ",durative,telic
Open your box and slowly begin pouring milk into the bag that is located in the box until desired amount.,durative,telic
Next add the water,punctual,telic
check if it is now frozen and if it is frozen put it out of the freezer and put out the tape to and get one of a lolli juice cube out from the tray and start licking and eating hope you enjoy!,punctual,telic
"To assemble: place mayo (or optional sauce) on both sides of bun. Place a small bunch of fresh arugula on the bottom bun, add the chicken breast and grilled pineapple slice. Cover with top of bun. Serve immediately.Source: http://meal5.com/simple-healthy-recipes/how-to-make-grilled-chicken-and-pineapple-sandwiches",punctual,telic
"Make sure don't overfill two teaspoons, if you do, you won't even notice a scent of orange in your tea. Also, you need to use a cup save from heat!!! If you use the plastic ones, it will melt by the boiling water",durative,telic
4. Pour lemonade into glasses and enjoy.,durative,telic
Wrap meat in dumpling skins.,durative,telic
Now put the first layer of cheese on top of the chips again put as much as u want remember it's only the first layer,punctual,telic
Add 1/2 cup finely diced jalapeno pepper. Use more or less for desired heat. Remove seeds and membranes from jalapeno to reduce heat levels.,punctual,telic
"Now, take one of the smaller olives and cut a horizontal slit where you will put the beak",punctual,telic
"In a preheated 400 degree oven, cook your zombie for 15-18 minutes. Serve with your favorite marinara or bolganese! Eat him before he eats you!",durative,telic
"After the yeast has been activated, you mix the remaining flour with what you have left rest. Then, you knead the mix you have made.",durative,telic
Pair this with some maple syrup and breakfast for lunch never sounded so good!,punctual,telic
"Mix well, and place spoonfulls in muffin tins- or just drop them on a greased or oiled baking dish, or a sheet of alujminum foil, or an iron skillet. Whatever. If it can go in the oven, it's okay.",punctual,telic
"Take your cup and insert a teabag to your choice. Fold the string around the edge of the cup, so the little cardboard at the end lies on the surface.",punctual,telic
Put all the ingredients into a blender.,durative,telic
After the expiriment record your results and dispose of the chemicals properly.,punctual,telic
"Transfer to a wire rack to cool for 10 minutes. Slide a knife around the perimeter of the pan, invert to release the bread, and cool completely on the wire rack before serving.",punctual,telic
Draw a large ring of whipped cream on the jam about 1 inch from the side.,durative,telic
You will need:Two lemonsPart of a cucumberA small bunch of basil1/3 cup of sugarwater,,telic
Brush a splash of milk onto each scone with a brush.,durative,telic
Slice the three pickles in half to allow for more pickle space on the sandwich.,punctual,telic
Fill with tonic.,durative,telic
"all that is left to do is heat at 350 degrees for 30 minutes, just to heat it through and melt the cheese Enjoy your one dish beef casserole",durative,telic
Put the chopped potatoes in the other pan.,punctual,telic
Put the burner on medium tending towards medium low to make sure you do not burn the sandwich.,punctual,telic
First heat the popcorn bags until the popcorn is fully popped.,durative,telic
Take a handful of dough and roll into 2 ball. Repeat until you have desired amount of balls.,punctual,telic
First heat the popcorn bags until the popcorn is fully popped.,durative,telic
Take a handful of dough and roll into 2 ball. Repeat until you have desired amount of balls.,punctual,telic
Measure down 2.5 cm from the new top edge.  Mark an horizontal line at this point on three sides.  Cut along line through three sides.  Leave band attached to one side of carton body.,punctual,telic
"To create Peppa face, you need to make a heart shape. You may use heart shape cutter or free hand.",durative,telic
Put two slices of bread into the toaster and set it to the proper setting.  You can go on while they toast.,punctual,telic
Put in a good heaping teaspoon of your favorite instant coffee.,punctual,telic
First fill it up half way with the blue raspberry stuff. Then smell it because it smells GREAT!,durative,telic
Place the remaining pepperoni on the pizza.,punctual,telic
"Refrigerate the bark until completely hardened. Once hardened, remove from the pan and peel off the parchment. Break into pieces as large or as small as you want. To do so, remove from the refrigerator and allow to sit at room temperature to slightly soften for 5-10 minutes. Use a very sharp knife and cut.",durative,telic
Take it out after an hour and churnit a bit. Use a spoon to mix the protein-packed mixture or it would be even better if you take the help of a fork to break the potential clumps. Put it back in the freezer for another 30 minutes.,punctual,telic
"And as a bonus for over 3000 views total on my account the calories if this recipe isOnly around 15-20 calories, depending if you need the Vegan Recipe or notAlso, HAPPY HAPPY NEW YEAR!!!",,telic
You may just use scissors to create hands and feet from a bread.,durative,telic
"Add the egg, then the oats, milk, and vanilla extract and beat together until well blended.",punctual,telic
Now you have a delicious tuna sandwich. Eat up!,durative,telic
Place in the oven and bake for about 15 mins.,punctual,telic
"Gently uncover. Pieces may break off at the ends, but this is ok--lettuce is abnormally shaped after all!Garnish with red cookies or candies and croutons made of pound cake. ",punctual,telic
"Take the sandwich and a garnish if you wish. I would suggest cutting in half to get a full bite of the best flavor.I hope you liked the instructable and more importantly, I hope you enjoy the sandwich :)Enjoy !!",punctual,telic
"myspace.com/daposthis is a traditional plate in mexico mostly in oaxaca, i have catch and cooked grasshoppers my self and it is not really hard 9 but I did it in mexico) well if you get some grasshoppers or you cook them your self you can eat with almost anything now enjoy!!!!",durative,telic
Fill the rest of the glass with sparkling water.,punctual,telic
Set a few Candy Hearts on top.,punctual,telic
All microwaves are different. I would recommend cooking in more than one step so that it is not overdone or you have a mess in the microwave.Using a loose cover is a good idea.&#160,durative,telic
Step eight is to cut the sandwich into halves so that it is easier to eat,,telic
Knife   Skewers   Heart-Shaped Cookie Cutter   Pineapple   Cutting board   Chocolate dipping sauce  Icing writer,,telic
Add one teaspoon of chai to the water.,punctual,telic
"Remove small green branches and wash the grapes. Don't squeeze them, because we are making liqueur not sirup!",punctual,telic
whole-wheat-flax-pie-dough_4_0.jpg,,telic
Use the screw driver to bend the hinge.,punctual,telic
how-to-make-chunky-chocolate-cookies_2_0.jpg,,telic
-Add melted butter to it,punctual,telic
Chop onions and green chillies. while cutting onions try to prevent tears from your eyes.:),punctual,telic
At the restaurant we tried this at they have us four simple steps to eating this walnut bitter! So after making the butter there are only a few simple steps left until this delicious snack is in your mouth! Smear the walnut butter on any type of bread! It is really good on whole wheat which is also very healthy!,durative,telic
Frost with your favorite frosting when cool.,punctual,telic
10) Squeeze each of the balls with hands to get small pies with diameter of about 5 cm.,punctual,telic
"-When volume is almost reduced and rabri gets thickened add cardamom powder,nuts and raisins of your choice.",punctual,telic
A jar of yogurt  Two teaspoons of condensed milk  Chipped ice  A  teaspoon of coconut milk  1 slice of lemon  20ml of coffee (see here)  A blender,,telic
"The ingreients needed for this snack are chocoolate cake mix, 3 eggs,&#160;1/3 cup of vegetable oil, 1 cup of water, 1 box of powdered sugar, 1 stick of margarine, 4 tablespoons of cocoa,&#160;1/4 cup of milk, twizzlers, M&M's, sprinkles, wax paper, and white chocolate almond bark. You will also need three bowls, a cake pan, measuring cups, a blender, an oven, and a microwave.",durative,telic
Prepare a white leek.,punctual,telic
"the chain can be used like any other chain (but without the same breaking strength). they are cheap, easy, and look really cool",durative,telic
"In a skillet, add water, cinnamon, nutmeg, and salt. Boil to a medium heat until bubbling and then add the diced apples.",punctual,telic
Pour your heated milk into the mug until all the cocoa mix has dissolved.,durative,telic
" Put condensed milk, yogurt, coconut milk and a few drops of lemon juice then blend it for 3 minutes.Then pour this mixture onto the chipped ice.",punctual,telic
Melt the butter and stir in the brown sugar.  Heat and stir until the mixture begins to caramelize.,punctual,telic
I baked two cakes using this Heritage style bundt cake pan.,punctual,telic
"Finally you pour 20ml of coffee onto the chipped ice and yogurt mixture. In the summer, Vietnamese people often drink this kind of drink.Enjoy the great taste. ",durative,telic
Once the hamburger is browned and broken up.Add 1/3 cup diced onions 1/4 cup diced celery and continue cooking until done,punctual,telic
Add your filling to the pie crust. Place second pie crust on top and crimp edges together. Decorate as desired. Be sure to poke a couple of holes in the top crust for venting. You can either do this with a knife or a fork.,punctual,telic
there shall be 4 holes slightly smaller than your bolts.,durative,telic
Temper the semi-sweet chocolate chips using a double boiler over just barely simmering water.,punctual,telic
3935_2,,telic
So you've pinched and gotten a good hold on some part of the peel. Great! Now pull it!,punctual,telic
Add it all to the pitcher. I used a half gallon pitcher.,punctual,telic
"To make your watermelon slicer, you will need:4 Feet of PVC pipe (I used 1 1/4 inch, but other thicknesses may work as well)4 Right angle elbow piecesRoughly 8 Feet of thin metal wireA pair of needle nose pliersA power drillA hacksaw ",durative,telic
Take a handful of dough and roll into 2 ball. Repeat until you have desired amount of balls.,durative,telic
"THIS ancient thing-a-ma-jig is an air popper. plug it in, start it up, wait a half a minute... with the top off (or you'll be sorry...) ",punctual,telic
A freezerA plastic cupA yogurt Some fruit juices,,telic
"That's it!  Serve with some corn chips and you've got an easy,  fun, tasty, hearty and healthy meal!You could even set up a Tacocado bar for a party, and let folks load up pre-cut avocados with the filling of their choice!  Cheers!",durative,telic
"This banana was huge so I shared some of it with Mitch, who was helping me out by taking pictures. Mmm... banana.",durative,telic
"Once the spinach mix has cooled a bit, add sun dried tomatoes, olives, pine nuts and feta cheese to the spinach mix and stir to combine.",punctual,telic
Spread the bread with chocolate.,durative,telic
I hope you enjoyed this post. please like and comment if you did.,durative,telic
812_11,,telic
"Pre- heat oven to 350 F. Brown ground beef, onion and bell pepper on medium heat until done.",durative,telic
Serve with a warm tortilla  and top with a little cheese.,punctual,telic
"After an hour of resting the pork is ready,......With a smoking like this you are left with options, I used some of the pork for dinner and most of it I put back into a crock pot with apple vinegar. Cook on low while at work then go home and shed it up for pulled pork bbq!Bon appetite ",,telic
Scoop 1/2 cup of the mixture using a measuring cup or portion scoop.  Shape into a ball with your hands and pat into a 3/4 inch thick patty.   Place in a heated saut&#233,punctual,telic
Take the sliced pickles and place on top of the swiss cheese covering as much space as you can because the flavor of the pickles is essential for the sandwich.,punctual,telic
Garnish with XXX Vitamin Water for color or taste preference,punctual,telic
place the cooked hamburger into an oven proof baking dishtop with canned french style green beans that have been drained drain and mash the potatoes in a separate pan,punctual,telic
"Transfer the cooked patty to a sheet of parchment paper.At this point you can serve OR store them.   If you choose to store them, later between sheets of parchment and place in an airtight container in the freezer.If serving, smother with marinara sauce or place on a bun with your favorite toppings!  ",punctual,telic
"scalecutting boardchef's knifelarge bowlgraterpeelermeasuring spoons(x1) wide mouth quart jar w/ plastic lid*(x1) 4oz jam jar without lid**It's not necessary to sterilize the jars. Washing and drying them is enough as the low pH environment that the good bacteria and lactic acid create, is inhospitable to bad bacteria.",,telic
Place the bag in the microwave for around 1 minute and 45 seconds.,durative,telic
&#160,,telic
"Before anything wash your hands. First Preheat the oven to 275 degrees, then line your cookie tray with foil, unwrap your candy, and arrange them in stacks of three. (Your options of colors)Note: When you are arranging the candy make sure they are separated in a good amount of space. So when the candy melts, they don't come together. ",durative,telic
Open the can of beans using the can opener set your stove top to a 6 or 7. Then put your beans into the pot then onto the stove.,punctual,telic
"Measure out your popcorn into the bowl. One normal microwave bag is about 1/4 cup of kernels. For a single snack serving, I normally just use a small handful.",punctual,telic
"At this point, your sandwich will be too tall. If you eat it like this, chaos will ensue. To save embarrassment when dining, gently but firmly apply pressure to the top of the sandwich, pushing down. Be careful not to squish the contents out of the sides. ",durative,telic
2) Steam the slices for 10 minutes.,durative,telic
Place the tea bags into the water filled jar.,punctual,telic
Line two baking pans with foil. This is only optional if you like to wash pans that have been totally fracked up by molten sugary rock.,durative,telic
Pour Macaroni and Cheese into the casserole dish,durative,telic
Mash the mixture of potatoes and the other boiled vegetables of step 2. The resultant paste is called gravy (is that correct spelling?). This mashing business is the toughest part as it requires quite some effort. Make sure peas are mashed as much as possible.,durative,telic
Cook your cookie for 40 seconds to 1 minute. Start checking it at 30 seconds.,durative,telic
Take the ham and place it deli style on top of the pickles. Deli style is half rolling it and placing them on top of each other. Go to a subway and watch how they put on the meat.,durative,telic
Pour all of the melted white chocolate over the semi-sweet chocolate bark layer and spread into a smooth layer.,durative,telic
"This is perfect for using up any crust leftovers from your sandwich cutouts! On medium heat just toast up some bread with the center cut out of it, drop an egg in the center and let it cook up - you can also flit it to cook and toast the top side or do the whole thing in the oven! ",durative,telic
"If using a 60 watt Epilog laser such as the one I used at TechShop San Francisco, set your speed to 100% and power to 35%. It worked for me, so obviously it will work wonders for you.",durative,telic
"Use a spoon or ladle and fill the remaining area of the cups with brownie mix, but be careful not to fill them directly to the brim because they will overflow; just a little below the brim is perfect.",durative,telic
Step four is to wash the peanut butter off of the knife so that we will be able to use it for the jelly.,durative,telic
The third step is to grab the piece of bread and spread the peanut butter onto the bread.,durative,telic
"Add a drizzle of olive oil to each jar. I like a lot of vinegar, so I slowly poured it on until the jar was about 1/4 full of vinegar. Cap and store in the fridge for 1-3 days. Serve with warm toast!",punctual,telic
Put the tomato slice and some salt and pepper.,,telic
Add salt and pepper to taste and blend for another half a minute. I didn&#8217,punctual,telic
Pour the hot water with the noodles and cover it for a minute then add the flavoring.Mix it.,durative,telic
Now mix the Ramen with the sauce that you have chosen when all mixed together you can top with cheese or leave plain. Now you have made Ramen noodle spaghetti all that is left is to eat.,durative,telic
"Cover with foil and chill for at least 4 hours, if not overnight.",durative,telic
"Prepare sugar syrup. 1) In an medium-heat, boil cold water with sugar (the quantity varies on how much sugar you eat).2) Turn on heat to low and stir until the sugar dissolves completely in the water (it should take approximately 3-5 minutes). The longer you let it boil, the thicker the syrup will be.3) After boiling, let it cool down to room temperature, then take it into a small bowl.",durative,telic
Then let the popcorn cool for around 5 minutes.,durative,telic
Roll into bite size-balls (the size you roll them depends on how many you want to make).,durative,telic
Pour chocolate syrup into the bottom of the cup.,durative,telic
Place the roasted eggplant and cauliflower into the food processor with the onion and garlic.  Pulse until reasonably smooth (some small chunks are desirable),durative,telic
"Slightly darkened, hardened outer shell. ",,telic
- put everything together  - mix + add pepper & salt,durative,telic
-Add melted butter to it,punctual,telic
"That's it! Nice and simple, and better tasting that store-bought in my opinion - without all the extra mystery ingredients. This base recipe is easy to modify using honey, dark chocolate, cinnamon, pumpkin spice, vanilla, gingerbread seasoning...all of your favorite flavors can be turned into a peanut butter now!",durative,telic
"Put the bowl in the microwave and cook as per normal bag popcorn standards. Heat on high until there are about 2-3 second between pops. Depending on how much you made and the power of your microwave, this is normally about 1:45 to 2:30 minutes.&#160;",durative,telic
"Have some manners! Unless you are living alone with ten cats who might appreciate the left out extras, make sure to put everything away, wipe up the area, and wash your hands. ",durative,telic
Take finished base and cover in cream cheese. Place ham over cream cheese to look like skinned deer. Use stuffed olives for the  eyeballs.Place on tray of lettuce and put deer sausage around skull.Finished!,durative,telic
"When your oven has preheated, place them in for 5 minutes, until melted.",durative,telic
"If you would like you can gather frosting or other toppings and decorate your 'Cup' Cake before you eat it. I, personally, did not and just ate it plain. ",durative,telic
Pour the pumpkin mixture into a greased dish.,durative,telic
"Next, you will add one Oreo to the center of each cup and press firmly so the cookie stays in place while baking. Be sure not to press too hard, otherwise the cookie will break!",punctual,telic
take the cheese ball out of the bowl and turn it over then smooth the rounded side with your hand,punctual,telic
Lightly oil the pan you plan to bake the loaf in and put the freshly kneaded dough into the pan Cover with cling film and leave for an hour The dough will have roughly doubled in size Remove from the pan and knead it back down to it's original size,,telic
Measure 1/2 cup of water into a pan.,punctual,telic
