text,telicity,punctual/duritive
"In the pause she poured Greg's tea, which was not at all  strong , and handed it to him. ",TELIC,punctual
"Just wait till you read the second novel.,, ",TELIC,durative
The bang of the door resounded all over the house.,TELIC,durative
Kronweiser hadn't proved forgery.,TELIC,punctual
"There, by the easy chair, he had placed the works of Gerald Seymour-Strachey three fairly substantial-looking volumes. ",TELIC,punctual
"Desmond, after the briefest of mutters, hurried after her to tuck her into the car. ",TELIC,durative
"Then what happened afterwards: she panics, everyone says., ",TELIC,durative
"Love one,said Greg, and watched as Hilary went over to a little kettle on a hot-plate in the corner of the room and slopped boiling water over a tea-bag. ",TELIC,durative
Look at my mother.,TELIC,durative
"But the surprise came at the end.,, ",TELIC,durative
"Of course,  said Greg., ",TELIC,durative
"For some reason she found what she had just said enormously funny, and exploded into the phone with a fruity laugh before putting down her receiver., ",TELIC,punctual
It'll be yours when she goes.,TELIC,durative
I said the same to one of his boys when he was here.,TELIC,durative
"Well, according to the doctor she probably died before the fire really got a hold up there., ",TELIC,punctual
"But no doubt you went along just in case.,, ",TELIC,durative
I finish about ten to one.,TELIC,punctual
She kicked herself as soon as she had said it.,TELIC,punctual
"As she did so, Greg's eye went back to the letter on the dressing-table. ",TELIC,durative
One thing Mam said suggested it had been going on for some time,TELIC,durative
"I said to him, how often do you do these drills?, ",TELIC,durative
They'll only get lost in mine.,TELIC,durative
"She had rung off without asking Greg what his business was.,, ",TELIC,durative
She giggled.,TELIC,durative
Wouldn't it tire you? said Desmond quickly.,TELIC,durative
The range of human tasks has already been indicated by the description of the extremes of procedural and diagnostic task analysis.,TELIC,punctual
"Desmond says it was the woman he lives with isn't it awful, at his age!who really suggested there should be a get-together., ",TELIC,durative
"Anyway, he says he went home hours before. ",TELIC,durative
"Where's he gone?, ",TELIC,durative
But you're going to do something about it?came back Helen's voice.,TELIC,durative
"The fact was, he had not felt in the book the impress of Walter Machin's personality, as he had come to know it  or to think that he knew it. ",TELIC,durative
"Well we didn't, we come back  well yo we didn't come back till December!, ",TELIC,durative
You were born in nineteen-forty.,TELIC,punctual
"Hocking,said Greg,Greg Hocking.",TELIC,durative
See you in the morning.,TELIC,durative
"The speed with which Margaret Seymour-Strachey accepted his offer suggested she was desperate for someone to talk to.,, ",TELIC,punctual
I wanna take my badge because otherwise if you pull it it'll rip my jeans.,TELIC,durative
"I enjoyed it!, ",TELIC,durative
"Well, I'll just have a quick one  thanks very much.",TELIC,durative
Go and have a look.,TELIC,durative
"Could we, do you think? she said. ",TELIC,durative
Did you get to? But he stopped in the middle of his question.,TELIC,punctual
Did Claire come round?,TELIC,durative
Slipped out from under your sweaty embrace.,TELIC,punctual
She struggled to her feet to see him to the door.,TELIC,durative
"Did I put down Emma, in the back? ",TELIC,punctual
Get in.,TELIC,durative
I said well it's alright cos I went to this er  presentation there.,TELIC,durative
"Instead, more tentatively, he said: I suppose Hilda had given anything she had of interest to Mr Kronweiser before she died.",TELIC,durative
"Let me go in with them, he shouted. ",TELIC,durative
You just said that nobody suspected.,TELIC,durative
Well let me have a go of it!,TELIC,durative
"Come off it, Rosie, spill the beans. ",TELIC,punctual
You didn't go in the pool though did you dad?,TELIC,durative
"He upped the price of all his unsold pictures by twenty-five per cent, borrowed a few old ones from their owners and painted some large, meretricious canvases to make a splash. ",TELIC,punctual
"Then at the end of the hall, he saw a shape. ",TELIC,durative
She smiled at him cheerily and opened the gate as he got out of his car.,TELIC,durative
"It's, it's a bit silly is  could have done some damage to your eye., ",TELIC,durative
"You don't think it might have been better to let her have her say out,suggested Desmond, and get it off her chest? ",TELIC,durative
"When you've, that gravy's got thick  just go and have a look please., ",TELIC,punctual
"In the pause she poured Greg's tea, which was not at all  strong , and handed it to him. ",TELIC,punctual
"Just wait till you read the second novel.,, ",TELIC,durative
The bang of the door resounded all over the house.,TELIC,durative
Kronweiser hadn't proved forgery.,TELIC,punctual
"There, by the easy chair, he had placed the works of Gerald Seymour-Strachey three fairly substantial-looking volumes. ",TELIC,punctual
"Desmond, after the briefest of mutters, hurried after her to tuck her into the car. ",TELIC,durative
"I say, will you have another beer? ",ATELIC,durative
Are you going to do my hair before you leave?,ATELIC,durative
An aptitude is therefore a capacity plus an inclination or interest.,ATELIC,durative
She thinks I'm a wicked woman.,ATELIC,durative
Oh that's alright.,ATELIC,durative
We call it legitimate furthering of mutual interests here.,ATELIC,durative
"It envisages replacing the Bull Ring development with a vast new shopping complex, almost free from the graffiti-sprayed subways that have characterised central Birmingham since the mid-Sixties., ",ATELIC,durative
"That's why he's not doing so well at the moment: people like you to put up some pretence that you're interested in something other than money, even if you are in the insurance business. ",ATELIC,durative
"And  erm  she like, just she won't play with me but she doesn't., ",ATELIC,durative
"These include not only perceptual-motor skills but also the basic language and social skills.,, ",ATELIC,durative
"It's the truth, isn't it? ",ATELIC,durative
The shifts  of allocation of function from this point of view are illustrated in Fig. 1.13.,ATELIC,durative
In the early years there is extensive leisure devoted to play in which the basic manipulative and social skills are developed.,ATELIC,durative
He had heard (and drunk) so much in the last few days that his mind was a haze of impressions and conjectures which refused to sort themselves out or lead in any one direction.,ATELIC,durative
"Yes, she comes and collects it in a week's time. ",ATELIC,punctual
"He decided to ring Seymour-Strachey later, about tea-time, when he might be presumed to be in. ",ATELIC,punctual
Is there a gap or a hole which indicates a leak?,ATELIC,punctual
"But it's a selfish family, I'd say. ",ATELIC,durative
"This cannot be said of the colourful house, which turns out to be as likeable as its architect. ",ATELIC,durative
This band is currently contracting even further in European societies.,ATELIC,durative
Don't talk stupid!,ATELIC,durative
Should be alright then.,ATELIC,durative
I wouldn't want her to die.,ATELIC,durative
By then it was too late.,ATELIC,durative
Clearly the questions must be such that the relevant population can be expected to understand them and to make informed responses.,ATELIC,durative
Oh we're back up again!,ATELIC,durative
"At this level the practitioner is often the conscious monitor of the practice and facility in self-monitoring is a useful indicator of skill.,, ",ATELIC,durative
"First of all you want it straight, then you want it curly! ",ATELIC,durative
"This hardware, if it is well-designed, aids him in his progress toward his objective. ",ATELIC,durative
"Provide clear if indirect indications that the interview is ending.,,",ATELIC,durative
"Conation is to do with the emotional domain: feeling, caring and striving., ",ATELIC,durative
"All these things can be achieved if it is acknowledged that all procedures should a validated by users under the normal conditions of use.,, ",ATELIC,punctual
What's up?,ATELIC,durative
"For example the use of nuclear power in either the military or the civil sense is regarded as qualitatively different from non-nuclear power in its safety, control and management requirements., ",ATELIC,punctual
"The aim of psychological measurement is optimal discrimination between individuals, for this purpose the difficulty of the test should match the range of abilities of the testees., ",ATELIC,durative
"She hated those stairs.,, ",ATELIC,durative
"A machine without human guidance is inflexible and highly limited in recognition and learning facilities.,, ",ATELIC,durative
"If they correspond, then all is well, his concept of the situation is confirmed and he can progress to the next step in the context of his objectives. ",ATELIC,durative
Everyone seems to be getting interested in him lately.,ATELIC,durative
It is feasible to provide adequate exposure to events which in practice might be rare but very serious.,ATELIC,durative
I'll read it to you later and tell you exactly what's happening.,ATELIC,durative
"Or should development be given over to a broad church of interest groups and realised by a catholic mix of architects working in a number of complementary styles?,, ",ATELIC,punctual
"Here we are.,, ",ATELIC,durative
Here you are!,ATELIC,durative
One of the more subtle failures is to confuse a block diagram with its inverse.,ATELIC,durative
I'm just writing the answers out for you!,ATELIC,durative
"But then, I don't think he was happy anyway., ",ATELIC,durative
You see the thing is  you can record and listen to yourself speaking at the same time?,ATELIC,durative
"The articles in the Sunday papers had been well done in their way: the spread of photographs in the Grub had made the point Hilda had wanted made without undue underlining: all the local bookshops (two) had piles of copies of The Factory Whistle that seemed to diminish rapidly and be renewed.,, ",ATELIC,punctual
"The two main theories emphasise respectively interactions with other people;socio-technical systems and interactions with machines;man-machine systems .,, ",ATELIC,durative
"Social skills are in principle more complex than perceptual-motor skills because the latter assume (correctly) a passive world which will react neutrally, according to the laws of physics. ",ATELIC,durative
"He was just meditating whether he could risk running straight in through the kitchen door when he saw two of the firemen in masks, doing just that. ",ATELIC,durative
"The commonsense view that to proceed with care is to proceed slowly can also be reversed in high level skills, there are instances where speed seems to be an essential accompaniment of delicate discrimination (Lacy, 1978). ",ATELIC,punctual
"Correspondingly acquisition is different from storage in that the latter implies a formal recording possibly in short-term or possibly in long-term memory.,, ",ATELIC,punctual
Do I like it?,ATELIC,punctual
"The Galleries will bridge the snarling ring road, which will be buried in decorous tunnels. ",ATELIC,punctual
"I don't like the people's attitude Emma.,, ",ATELIC,durative
"This is because, as already mentioned, ergonomics is about efficient use of people. ",ATELIC,punctual
I've never known anyone less likely to panic than Hilda.,ATELIC,durative
Do you think this'll hold?,ATELIC,durative
"He was very considerate like that and he taught us girls a thing or two we lived to be grateful for later on, I can tell you.",ATELIC,punctual
"I've met lots at the Blackburn Literary Club.,, ",ATELIC,durative
"Not just because it was a ridiculously inadequate motive, but because it wasn't true., ",ATELIC,durative
"The interviewer should collect the interviewee, not have him sent for from the waiting room. ",ATELIC,durative
"Proper little rogue and vagabond, was our Walter. ",ATELIC,durative
"There are formal techniques of network analysis which occasionally prove useful; for example, in identifying equivalent diagrams or ways of simplifying diagrams (Battersby, 1970). ",ATELIC,punctual
"Well, I'm afraid the result is, you're pregnant.",ATELIC,punctual
Couldn't get up this morning.,ATELIC,punctual
"All the slop and  and scrape it all into this  bucket  with lots of  it's like  tray  you know like that tray that you've got i next to your sink?,, ",ATELIC,punctual
"They've sold American rights in both of the novels, film rights in The Factory Whistle and they're being translated into quite a few foreign languages., ",ATELIC,punctual
"It's not used, and that way you could have kept everything together., ",ATELIC,punctual
"She bustled round, putting on kettles and opening tins of biscuits and cake. ",ATELIC,durative
Intelligence is connected with cognition but personality incorporates conation.,ATELIC,durative
But we're worried a bit about her state of mind.,ATELIC,durative
"For more senior jobs individuals will have already demonstrated an appropriate level of intelligence by their educational standards and successful work experience.,, ",ATELIC,durative
Is this mine?,ATELIC,durative
"There was that letter from Walter in the archive at Jackson's, dated 2 June 1939., ",ATELIC,punctual
"that's a salad bath.,, ",ATELIC,durative
"We could just sit back and collect rents from an ever-decreasing number of tenants.,, ",ATELIC,durative
"Potential human factors inputs to the large scale design process are summarised in fig. 1.4.,, ",ATELIC,durative
"In any case, it's not vital., ",ATELIC,durative
"The store or stores are almost certainly active rather than passive records of events and knowledge so that these also are best considered as processes.,, ",ATELIC,durative
"Now the doctor's said he's got to try and lose some weight.,, ",ATELIC,durative
"It's chocolate .,, ",ATELIC,durative
"Oh yes, I've  Have you enjoyed yourself at school?, ",ATELIC,durative
I suppose she would.,ATELIC,durative
And you can go out in a moment.,ATELIC,durative
"Well how can  well how can go without his keys?,, ",ATELIC,durative
"Ergonomics seems to flourish equally well in capitalist and socialist/communist systems, ",ATELIC,durative
ergonomics activity can be sponsored with equal validity by employers organisations and by workers organisations.,ATELIC,punctual
"The two human factors which can be unambiguously measured are age and sex.,, ",ATELIC,punctual
"She's so conventional, you know., ",ATELIC,durative
"The model is his picture of what is going on outside him and it is essentially an hypothesis based on the available evidence.,, ",ATELIC,durative
"Things go wrong, suddenly. ",ATELIC,punctual
"The standard of manual design has traditionally been very low for several   reasons.,, ",ATELIC,durative
"It was not easy, either, to withdraw one's leg when sitting down. ",ATELIC,punctual
I'm not strong.,ATELIC,durative
"The healthy, well-adapted individual keeps them in balance in a dynamic equilibrium., ",ATELIC,durative
"For the skills of interacting with the physical world the procedure summarised in Table 2.6 is appropriate.,, ",ATELIC,durative
There's no point.,ATELIC,punctual
"At the moment all the centre offers is anxiety.,, ",ATELIC,durative
"The setting up of routines for this communication is another aspect of ergonomics.,, ",ATELIC,durative
Psychometrically the problem is to develop appropriate descriptive taxonomies so that a person's actual or potential contribution to an organisation is succinctly expressible.,ATELIC,durative
"He had an odd air of being impressed, but quite bewildered., ",ATELIC,durative
"Intelligence is a descriptor of the quality of mental functioning, the ceiling of intellectual manipulation to which the individual can rise., ",ATELIC,durative
"Research on the influence of cultural factors on intelligence testing and test results have been conducted on a wide scale and the results are endlessly discussed because of the inextricable mixture of technical and value judgments., ",ATELIC,durative
"Home, for Mr Kronweiser, was a large bedroom in a  working-class house to the north of the town. ",ATELIC,durative
"Key-board manipulation is a skill relevant to many tasks and is typical of psycho-motor skills in that the perceptual elements of identify and select dominate the motor element of actual key pressing.,, ",ATELIC,durative
"Viola Machin, seated in her bay window, watched from under hooded lids the approach of her daughter-in-law through the wall gate and up the garden path. ",ATELIC,durative
"There is a need for formal ergonomics in any design where the designer himself is not an experienced user.,, ",ATELIC,durative
"Dad wants to know if those scales have come.,, ",ATELIC,durative
What do you want dad?,ATELIC,durative
"Some hand tools are beautifully designed to match the user, e.g. the two-handed scythe. ",ATELIC,durative
"Can't throw my life away, can I? ",ATELIC,punctual
"And she says she'll try and phone me up, but I reckon she doesn't even  er  I sa ask her mum. ",ATELIC,durative
"The identification of the sub-tasks which are appropriate for intensive training with feedback is achieved by task analysis.,, ",ATELIC,punctual
I know.,ATELIC,durative
for example any diagnostic task can be aided by a taxonomy of symptoms and a taxonomy of causes together with connections between them.,ATELIC,durative
Probably have to do the them drills anyway.,ATELIC,durative
The intervals are predetermined by the elements of a motor task or more simply by the target cycle time of a task.,ATELIC,durative
"One building stands out in this dispiriting panorama of post-war mediocrity: a dark powerful mass of brickwork with a tall central tower that stands right across the Thames from Wren's dome.,, ",ATELIC,durative
Walter was like a squeezed-out rag after he married you.,ATELIC,durative
By definition and design intention routines are inflexible.,ATELIC,durative
An interview is a formal conversation in which there is a non-reciprocal relationship between the parties.,ATELIC,durative
and she wants money!,ATELIC,durative
It all keeps the interest up!,ATELIC,durative
"In principle a task description is not necessarily an activity of   a person, the task might possibly be completed automatically. ",ATELIC,durative
"The converse of positively trying to recall some fact such as the name of a person is subject to curious blockages which are not understood.,, ",ATELIC,punctual
"In serious cases the aim is to shut down the system safely.,, ",ATELIC,punctual
"I'm sorry, but it's damp., ",ATELIC,punctual
"It is turned on now.,, ",ATELIC,punctual
"Perhaps he should put him top of his visiting list: at his age, it might be urgent. ",ATELIC,punctual
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Then what happened afterwards: she panics, everyone says., ",TELIC,durative
"Love one,  said Greg, and watched as Hilary went over to a little kettle on a hot-plate in the corner of the room and slopped boiling water over a tea-bag. ",TELIC,durative
"Look at my mother.,, ",TELIC,durative
"But the surprise came at the end.,, ",TELIC,durative
She smiled at him cheerily and opened the gate as he got out of his car.,TELIC,durative
"It's, it's a bit silly is  could have done some damage to your eye., ",TELIC,durative
"You don't think it might have been better to let her have her say out suggested Desmond, and get it off her chest? ",TELIC,durative
"When you've, that gravy's got thick  just go and have a look please., ",TELIC,punctual
"In the pause she poured Greg's tea, which was not at all  strong , and handed it to him. ",TELIC,punctual
"Just wait till you read the second novel.,, ",TELIC,durative
The bang of the door resounded all over the house.,TELIC,durative
Kronweiser hadn't proved forgery.,TELIC,punctual
"There, by the easy chair, he had placed the works of Gerald Seymour-Strachey three fairly substantial-looking volumes. ",TELIC,punctual
"Desmond, after the briefest of mutters, hurried after her to tuck her into the car. ",TELIC,durative
"Then what happened afterwards: she panics, everyone says., ",TELIC,durative
"Love one,said Greg, and watched as Hilary went over to a little kettle on a hot-plate in the corner of the room and slopped boiling water over a tea-bag. ",TELIC,durative
"Look at my mother.,, ",TELIC,durative
"But the surprise came at the end.,, ",TELIC,durative
"of  course said Greg., ",TELIC,durative
"For some reason she found what she had just said enormously funny, and exploded into the phone with a fruity laugh before putting down her receiver., ",TELIC,punctual
It'll be yours when she goes.,TELIC,durative
I said the same to one of his boys when he was here.,TELIC,durative
"Well, according to the doctor she probably died before the fire really got a hold up there., ",TELIC,punctual
